City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,talnakh,69.4865,88.3972,-14.33,99,99,2.78,RU,2024-05-06
152,mendi,-6.1761,143.6513,15.42,96,100,0.25,PG,2024-05-06
153,albany,42.6001,-73.9662,19.2,72,100,2.68,US,2024-05-06
154,nangal,31.3667,76.3833,25.9,30,0,2.0,IN,2024-05-06
155,jilib,0.4883,42.7854,25.6,91,100,1.98,SO,2024-05-06
156,bei'an,24.5399,109.533,21.04,95,65,1.0,CN,2024-05-06
157,sokcho,38.2083,128.5911,10.34,100,100,3.6,KR,2024-05-06
158,santa cruz,-17.8,-63.1667,28.7,65,40,6.69,BO,2024-05-06
159,ujae,8.9322,165.7642,27.9,82,100,9.13,MH,2024-05-06
160,hermanus,-34.4187,19.2345,14.33,70,39,2.55,ZA,2024-05-06
161,lincheng,19.9078,109.6858,25.09,87,46,1.16,CN,2024-05-06
162,swakopmund,-22.6833,14.5333,14.47,87,2,0.45,NA,2024-05-06
163,tchintabaraden,15.8969,5.7985,34.38,14,83,4.34,NE,2024-05-06
164,shiyan,32.6475,110.7781,18.56,90,100,0.95,CN,2024-05-06
165,taulaga,-11.0553,-171.0883,29.7,76,65,4.84,AS,2024-05-06
166,nawabshah,26.2483,68.4096,33.6,23,0,1.48,PK,2024-05-06
167,conceicao do araguaia,-8.2578,-49.2647,26.53,68,64,0.82,BR,2024-05-06
168,queenstown,-31.8976,26.8753,14.97,39,0,2.31,ZA,2024-05-06
169,kristiansund,63.1115,7.732,9.03,93,100,4.63,NO,2024-05-06
170,romblon,12.5751,122.2708,28.5,78,97,6.71,PH,2024-05-06
171,bocanda,7.0626,-4.4995,24.88,96,100,1.77,CI,2024-05-06
172,guarapari,-20.6667,-40.4975,23.44,85,0,2.05,BR,2024-05-06
173,kinablangan,7.6947,126.5503,26.02,75,94,1.49,PH,2024-05-06
174,port elizabeth,-33.918,25.5701,17.4,99,40,1.54,ZA,2024-05-06
175,anna regina,7.2644,-58.5077,26.62,85,100,4.21,GY,2024-05-06
176,rawlins,41.7911,-107.2387,4.08,65,100,13.89,US,2024-05-06
177,nizhnyaya poyma,56.1622,97.1933,4.87,75,35,1.09,RU,2024-05-06
178,tsiombe,-25.3,45.4833,20.3,71,0,3.41,MG,2024-05-06
179,shevchenko,48.5,35.0,13.98,55,68,5.15,UA,2024-05-06
180,falaise,48.8922,-0.1953,10.51,97,49,1.59,FR,2024-05-06
181,sitangkai,4.6628,119.3928,27.86,79,19,0.23,PH,2024-05-06
182,anadyr,64.75,177.4833,-3.72,93,0,2.0,RU,2024-05-06
183,narasannapeta,18.4167,84.05,27.28,80,43,3.94,IN,2024-05-06
184,aromashevo,56.8602,68.6375,8.43,57,100,6.95,RU,2024-05-06
185,manggar,-2.8833,108.2667,28.2,77,51,3.93,ID,2024-05-06
186,aljezur,37.3191,-8.8033,12.79,81,0,5.1,PT,2024-05-06
187,toliara,-23.35,43.6667,20.79,61,0,2.68,MG,2024-05-06
188,ranavav,21.6842,69.7408,26.8,83,0,4.24,IN,2024-05-06
189,gobabis,-22.45,18.9667,17.59,33,0,5.73,NA,2024-05-06
190,astravyets,54.6138,25.9554,7.14,95,100,4.44,BY,2024-05-06
191,yuzhno-kurilsk,44.0306,145.8556,5.76,99,100,4.02,RU,2024-05-06
192,chonchi,-42.6128,-73.8092,5.07,98,100,2.09,CL,2024-05-06
193,nuuk,64.1835,-51.7216,-2.29,68,20,7.15,GL,2024-05-06
194,lubango,-14.9172,13.4925,14.92,67,1,1.03,AO,2024-05-06
195,atafu village,-8.5421,-172.5159,29.88,75,42,5.23,TK,2024-05-06
196,wynyard,-41.0,145.7167,11.97,81,75,1.31,AU,2024-05-06
197,bokajan,26.0167,93.7833,19.36,93,100,0.27,IN,2024-05-06
198,el calafate,-50.3408,-72.2768,-2.61,70,12,1.16,AR,2024-05-06
199,vilyuchinsk,52.9306,158.4028,4.15,81,99,2.51,RU,2024-05-06
200,thompson,55.7435,-97.8558,17.09,36,75,1.54,CA,2024-05-06
201,ketchikan,55.3422,-131.6461,10.19,81,100,2.3,US,2024-05-06
202,itaituba,-4.2761,-55.9836,25.48,92,79,0.73,BR,2024-05-06
203,remire-montjoly,4.9167,-52.2667,28.02,89,100,4.12,GF,2024-05-06
204,borogontsy,62.6683,131.1683,9.83,62,95,5.54,RU,2024-05-06
205,port-gentil,-0.7193,8.7815,28.98,84,75,5.14,GA,2024-05-06
206,mindelo,16.8901,-24.9804,22.75,78,40,8.23,CV,2024-05-06
207,sarkand,45.41,79.9186,12.35,68,98,1.06,KZ,2024-05-06
